2023-12-27 18:39:38 | INFO | 跟单猿跟单系统启动，跟随交易员：BE9D269AE6D59DCF
2023-12-27 18:39:41 | INFO | 交易员BE9D269AE6D59DCF有正在进行中的交易，等待新的交易发生后开始跟随！
2023-12-27 18:39:53 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：ETH-USDT-SWAP，原仓位保证金：1992.7USDT，现仓位保证金：1792.9USDT
2023-12-27 18:46:32 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：ETH-USDT-SWAP，杠杆：50，方向：net
2023-12-27 19:19:34 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：MKR-USDT-SWAP，杠杆：15，方向：net
2023-12-27 19:19:54 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：LTC-USDT-SWAP，杠杆：37，方向：net
2023-12-27 19:19:58 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：BTC-USDT-SWAP，杠杆：50，方向：net
2023-12-27 19:20:49 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：LUNC-USDT-SWAP，原仓位保证金：3903.69USDT，现仓位保证金：4303.62USDT
2023-12-27 20:54:25 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MEME-USDT-SWAP，原仓位保证金：4399.31USDT，现仓位保证金：4649.35USDT
2023-12-27 21:46:00 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MEME-USDT-SWAP，原仓位保证金：4649.35USDT，现仓位保证金：4805.57USDT
2023-12-27 23:09:40 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：STORJ-USDT-SWAP，杠杆：3，方向：net
2023-12-27 23:10:01 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：STORJ-USDT-SWAP，原仓位保证金：3334.12USDT，现仓位保证金：3834.43USDT
2023-12-27 23:11:08 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：STORJ-USDT-SWAP，原仓位保证金：3834.43USDT，现仓位保证金：4334.76USDT
2023-12-28 12:52:31 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：STORJ-USDT-SWAP，原仓位保证金：4334.76USDT，现仓位保证金：4834.83USDT
2023-12-28 12:52:41 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：STORJ-USDT-SWAP，原仓位保证金：4834.83USDT，现仓位保证金：5334.82USDT
2023-12-28 14:55:47 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：SSV-USDT-SWAP，杠杆：10，方向：net
2023-12-28 17:01:52 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：IOST-USDT-SWAP，原仓位保证金：13349.55USDT，现仓位保证金：14063.71USDT
2023-12-28 18:22:36 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：SSV-USDT-SWAP，原仓位保证金：3004.9USDT，现仓位保证金：3805.25USDT
2023-12-28 18:36:24 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：SSV-USDT-SWAP，原仓位保证金：3805.25USDT，现仓位保证金：4807.02USDT
2023-12-28 18:50:06 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MEME-USDT-SWAP，原仓位保证金：4805.57USDT，现仓位保证金：5805.86USDT
2023-12-28 18:57:00 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：SSV-USDT-SWAP，原仓位保证金：4807.02USDT，现仓位保证金：5806.94USDT
2023-12-28 21:03:31 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MEME-USDT-SWAP，原仓位保证金：5805.86USDT，现仓位保证金：5833.8USDT
2023-12-28 21:35:23 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：SSV-USDT-SWAP，杠杆：10，方向：net
2023-12-28 21:57:09 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：GAS-USDT-SWAP，杠杆：20，方向：net
2023-12-28 21:57:23 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：GAS-USDT-SWAP，原仓位保证金：499.83USDT，现仓位保证金：999.71USDT
2023-12-28 23:20:07 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：BTC-USDT-SWAP，杠杆：50，方向：net
2023-12-28 23:20:39 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：BTC-USDT-SWAP，原仓位保证金：850.32USDT，现仓位保证金：1700.02USDT
2023-12-29 09:33:46 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：BTC-USDT-SWAP，原仓位保证金：1700.02USDT，现仓位保证金：2546.58USDT
2023-12-29 11:36:08 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：BTC-USDT-SWAP，杠杆：50，方向：net
2023-12-29 13:21:06 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：MKR-USDT-SWAP，杠杆：15，方向：net
2023-12-29 13:21:16 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MKR-USDT-SWAP，原仓位保证金：110.58USDT，现仓位保证金：799.69USDT
2023-12-29 13:22:41 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MKR-USDT-SWAP，原仓位保证金：799.69USDT，现仓位保证金：874.44USDT
2023-12-29 13:22:53 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MKR-USDT-SWAP，原仓位保证金：874.44USDT，现仓位保证金：1023.93USDT
2023-12-29 13:29:24 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MKR-USDT-SWAP，原仓位保证金：1023.93USDT，现仓位保证金：3077.83USDT
2023-12-29 14:32:47 | WARNING | 手动结束跟单，任务ID：272
