2023-12-19 02:00:03 | INFO | 跟单猿跟单系统启动，跟随交易员：BE9D269AE6D59DCF
2023-12-19 02:00:06 | INFO | 交易员BE9D269AE6D59DCF有正在进行中的交易，等待新的交易发生后开始跟随！
2023-12-19 06:18:44 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MKR-USDT-SWAP，原仓位保证金：24007.46USDT，现仓位保证金：24216.57USDT
2023-12-19 06:25:44 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MKR-USDT-SWAP，原仓位保证金：24216.57USDT，现仓位保证金：24236.62USDT
2023-12-19 06:27:39 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MKR-USDT-SWAP，原仓位保证金：24236.62USDT，现仓位保证金：24326.85USDT
2023-12-19 06:27:47 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MKR-USDT-SWAP，原仓位保证金：24326.85USDT，现仓位保证金：24328.28USDT
2023-12-19 06:28:39 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MKR-USDT-SWAP，原仓位保证金：24328.28USDT，现仓位保证金：24365.52USDT
2023-12-19 06:31:59 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：LINK-USDT-SWAP，杠杆：50，方向：net
2023-12-19 06:32:58 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：BNB-USDT-SWAP，原仓位保证金：3073.97USDT，现仓位保证金：3080.69USDT
2023-12-19 06:33:46 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：BNB-USDT-SWAP，原仓位保证金：3080.69USDT，现仓位保证金：3681.69USDT
2023-12-19 11:57:05 | WARNING | 手动结束跟单，任务ID：245
