2023-12-23 00:07:39 | INFO | 跟单猿跟单系统启动，跟随交易员：BE9D269AE6D59DCF
2023-12-23 00:07:42 | INFO | 交易员BE9D269AE6D59DCF有正在进行中的交易，等待新的交易发生后开始跟随！
2023-12-23 00:21:26 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：LUNC-USDT-SWAP，杠杆：20，方向：net
2023-12-23 00:22:34 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：SHIB-USDT-SWAP，杠杆：20，方向：net
2023-12-23 00:23:19 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：SHIB-USDT-SWAP，原仓位保证金：1500.27USDT，现仓位保证金：3000.92USDT
2023-12-23 00:31:14 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：LUNC-USDT-SWAP，杠杆：20，方向：net
2023-12-23 00:48:47 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：LUNC-USDT-SWAP，杠杆：20，方向：net
2023-12-23 00:49:28 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：LTC-USDT-SWAP，原仓位保证金：17522.78USDT，现仓位保证金：18603.15USDT
2023-12-23 01:06:17 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：LUNC-USDT-SWAP，杠杆：20，方向：net
2023-12-23 01:12:29 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：LUNC-USDT-SWAP，原仓位保证金：1000.52USDT，现仓位保证金：2001.06USDT
2023-12-23 01:44:33 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：LUNC-USDT-SWAP，原仓位保证金：2001.06USDT，现仓位保证金：2501.08USDT
2023-12-23 06:11:26 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：LUNC-USDT-SWAP，原仓位保证金：2501.08USDT，现仓位保证金：2001.06USDT
2023-12-23 06:11:29 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：LUNC-USDT-SWAP，原仓位保证金：2001.06USDT，现仓位保证金：1000.52USDT
2023-12-23 06:11:32 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：LUNC-USDT-SWAP，杠杆：20，方向：net
2023-12-23 10:56:10 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：MEME-USDT-SWAP，杠杆：10，方向：net
2023-12-23 10:56:34 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MEME-USDT-SWAP，原仓位保证金：999.84USDT，现仓位保证金：2000.05USDT
2023-12-23 15:53:24 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MEME-USDT-SWAP，原仓位保证金：2000.05USDT，现仓位保证金：3000.29USDT
2023-12-23 18:53:52 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MKR-USDT-SWAP，原仓位保证金：20481.67USDT，现仓位保证金：21148.68USDT
2023-12-23 22:53:49 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：OP-USDT-SWAP，杠杆：20，方向：net
2023-12-23 23:15:09 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：SHIB-USDT-SWAP，杠杆：20，方向：net
2023-12-23 23:21:20 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：ZRX-USDT-SWAP，原仓位保证金：3505.64USDT，现仓位保证金：4130.73USDT
2023-12-24 00:55:12 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：OP-USDT-SWAP，杠杆：20，方向：net
2023-12-24 00:58:07 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：IOST-USDT-SWAP，原仓位保证金：11203.47USDT，现仓位保证金：12635.31USDT
2023-12-24 01:01:59 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：SHIB-USDT-SWAP，杠杆：20，方向：net
2023-12-24 01:54:19 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MKR-USDT-SWAP，原仓位保证金：21148.68USDT，现仓位保证金：20481.67USDT
2023-12-24 02:31:24 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：SSV-USDT-SWAP，杠杆：10，方向：net
2023-12-24 03:26:26 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：SHIB-USDT-SWAP，原仓位保证金：2501.7USDT，现仓位保证金：3001.31USDT
2023-12-24 10:14:48 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：LUNC-USDT-SWAP，杠杆：20，方向：net
2023-12-24 10:14:48 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：SSV-USDT-SWAP，杠杆：10，方向：net
2023-12-24 10:49:21 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：LUNC-USDT-SWAP，杠杆：20，方向：net
2023-12-24 10:49:21 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：ATOM-USDT-SWAP，杠杆：3，方向：net
2023-12-24 11:05:28 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：ATOM-USDT-SWAP，杠杆：10，方向：net
2023-12-24 11:49:26 | WARNING | 手动结束跟单，任务ID：264
2023-12-26 01:24:16 | INFO | 跟单猿跟单系统启动，跟随交易员：BE9D269AE6D59DCF
2023-12-26 01:24:18 | INFO | 交易员BE9D269AE6D59DCF有正在进行中的交易，等待新的交易发生后开始跟随！
