2023-11-30 00:04:41 | INFO | 跟单猿跟单系统启动，跟随交易员：31F08109D363843E
2023-11-30 00:04:43 | INFO | 交易员31F08109D363843E有正在进行中的交易，等待新的交易发生后开始跟随！
2023-11-30 00:14:04 | SUCCESS | 交易员31F08109D363843E进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：90USDT，现仓位：100USDT
2023-11-30 00:17:44 | SUCCESS | 交易员31F08109D363843E进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：100USDT，现仓位：150USDT
2023-11-30 01:42:11 | SUCCESS | 交易员31F08109D363843E进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：150USDT，现仓位：100USDT
2023-11-30 01:46:57 | SUCCESS | 交易员31F08109D363843E进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：100USDT，现仓位：80USDT
2023-11-30 01:47:35 | SUCCESS | 交易员31F08109D363843E进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：80USDT，现仓位：60USDT
2023-11-30 01:49:12 | SUCCESS | 交易员31F08109D363843E进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：60USDT，现仓位：40USDT
2023-11-30 01:49:25 | SUCCESS | 交易员31F08109D363843E进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：40USDT，现仓位：20USDT
2023-11-30 01:50:06 | SUCCESS | 交易员31F08109D363843E进行了平仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-11-30 04:26:09 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 04:26:49 | SUCCESS | 网络恢复
2023-11-30 04:26:49 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 04:27:31 | SUCCESS | 网络恢复
2023-11-30 04:27:31 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 04:28:12 | SUCCESS | 网络恢复
2023-11-30 04:28:12 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 04:28:53 | SUCCESS | 网络恢复
2023-11-30 04:28:53 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 04:29:05 | SUCCESS | 网络恢复
2023-11-30 05:07:37 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 05:07:50 | SUCCESS | 网络恢复
2023-11-30 06:00:14 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 06:00:24 | SUCCESS | 网络恢复
2023-11-30 06:00:24 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 06:00:34 | SUCCESS | 网络恢复
2023-11-30 06:00:34 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 06:00:44 | SUCCESS | 网络恢复
2023-11-30 06:00:44 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 06:00:54 | SUCCESS | 网络恢复
2023-11-30 06:00:54 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 06:01:08 | SUCCESS | 网络恢复
2023-11-30 07:05:19 | SUCCESS | 交易员31F08109D363843E进行了开仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-11-30 08:13:45 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 08:13:59 | SUCCESS | 网络恢复
2023-11-30 08:19:24 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 08:19:36 | SUCCESS | 网络恢复
2023-11-30 08:36:10 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 08:36:23 | SUCCESS | 网络恢复
2023-11-30 08:41:43 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 08:41:56 | SUCCESS | 网络恢复
2023-11-30 08:52:49 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 08:53:01 | SUCCESS | 网络恢复
2023-11-30 09:10:19 | SUCCESS | 交易员31F08109D363843E进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：10USDT，现仓位：30USDT
2023-11-30 10:45:56 | SUCCESS | 交易员31F08109D363843E进行了平仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-11-30 10:48:05 | SUCCESS | 交易员31F08109D363843E进行了开仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-11-30 10:56:41 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 10:57:22 | SUCCESS | 网络恢复
2023-11-30 10:57:22 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 10:58:01 | SUCCESS | 网络恢复
2023-11-30 12:11:47 | SUCCESS | 交易员31F08109D363843E进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：-10USDT，现仓位：-30USDT
2023-11-30 12:21:47 | WARNING | 手动结束跟单，任务ID：113
