2023-12-19 11:58:56 | INFO | 跟单猿跟单系统启动，跟随交易员：31F08109D363843E
2023-12-19 11:58:59 | INFO | 交易员31F08109D363843E有正在进行中的交易，等待新的交易发生后开始跟随！
2023-12-19 14:25:21 | SUCCESS | 交易员31F08109D363843E进行了调仓操作，品种：ETH-USDT-SWAP，原仓位保证金：155.52USDT，现仓位保证金：222.9USDT
2023-12-19 16:40:39 | SUCCESS | 交易员31F08109D363843E进行了平仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-12-19 16:44:17 | SUCCESS | 交易员31F08109D363843E进行了开仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-12-19 16:55:24 | SUCCESS | 交易员31F08109D363843E进行了平仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-12-19 16:55:31 | SUCCESS | 交易员31F08109D363843E进行了开仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-12-19 16:55:49 | SUCCESS | 交易员31F08109D363843E进行了平仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-12-19 17:00:55 | SUCCESS | 交易员31F08109D363843E进行了开仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-12-19 17:08:40 | SUCCESS | 交易员31F08109D363843E进行了平仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-12-19 17:08:46 | SUCCESS | 交易员31F08109D363843E进行了开仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-12-19 17:09:05 | SUCCESS | 交易员31F08109D363843E进行了平仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-12-19 17:13:18 | SUCCESS | 交易员31F08109D363843E进行了开仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-12-19 17:13:36 | SUCCESS | 交易员31F08109D363843E进行了平仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-12-19 17:17:05 | SUCCESS | 交易员31F08109D363843E进行了开仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-12-19 18:12:18 | WARNING | 手动结束跟单，任务ID：247
