2023-11-29 13:11:37 | INFO | 跟单猿交易系统启动，跟随交易员：31F08109D363843E
2023-11-29 13:11:48 | SUCCESS | 进行平仓操作，品种:ETH-USDT-SWAP，方向：long
2023-11-29 14:54:54 | SUCCESS | 进行开仓操作，品种：ETH-USDT-SWAP，金额：100.0USDT，方向：short
2023-11-29 17:02:27 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：short
2023-11-29 17:06:06 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：short
2023-11-29 17:12:22 | SUCCESS | 进行平仓操作，品种:ETH-USDT-SWAP，方向：short
2023-11-29 17:15:01 | SUCCESS | 进行开仓操作，品种：ETH-USDT-SWAP，金额：100.0USDT，方向：short
2023-11-29 18:07:25 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，减仓量：193.20000000000002USDT，减仓占比：40.00%
2023-11-29 18:20:20 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，减仓量：193.33333333333334USDT，减仓占比：66.67%
2023-11-29 18:20:33 | SUCCESS | 进行平仓操作，品种:ETH-USDT-SWAP，方向：short
2023-11-29 18:30:10 | SUCCESS | 进行开仓操作，品种：ETH-USDT-SWAP，金额：100.0USDT，方向：long
2023-11-29 18:34:34 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-11-29 18:40:34 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
