2023-12-03 18:48:38 | INFO | 跟单猿交易系统启动，跟随交易员：EEA569A04A98D4E9
2023-12-03 18:49:10 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:49:58 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:51:07 | INFO | 跟单猿交易系统启动，跟随交易员：EEA569A04A98D4E9
2023-12-03 18:51:36 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:51:59 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:52:41 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:53:35 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:54:00 | WARNING | 手动结束跟单，结束跟单并不会平仓。如有正在进行中的交易，请及时手动在交易所平仓，避免资金损失！
