2023-12-03 18:35:05 | INFO | 跟单猿交易系统启动，跟随交易员：EEA569A04A98D4E9
2023-12-03 18:35:40 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:39:59 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:51:08 | INFO | 跟单猿交易系统启动，跟随交易员：EEA569A04A98D4E9
2023-12-03 18:51:38 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:52:21 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:53:16 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:53:52 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:55:13 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:57:33 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 19:02:27 | INFO | 跟单猿交易系统启动，跟随交易员：EEA569A04A98D4E9
2023-12-03 19:02:57 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 19:05:54 | INFO | 跟单猿交易系统启动，跟随交易员：EEA569A04A98D4E9
2023-12-03 19:06:24 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
