2023-12-20 02:05:12 | INFO | 跟单猿交易系统启动，跟随交易员：BE9D269AE6D59DCF
2023-12-20 02:05:47 | SUCCESS | 进行开仓操作，品种：LINK-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-20 03:57:52 | SUCCESS | 进行平仓操作，品种:BNB-USDT-SWAP，方向：long
2023-12-20 04:00:58 | SUCCESS | 进行开仓操作，品种：ARB-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-20 13:44:32 | SUCCESS | 进行平仓操作，品种:LINK-USDT-SWAP，方向：long
2023-12-20 17:12:24 | SUCCESS | 进行平仓操作，品种:ARB-USDT-SWAP，方向：long
2023-12-20 17:12:40 | SUCCESS | 进行平仓操作，品种:ALPHA-USDT-SWAP，方向：long
2023-12-20 17:13:07 | SUCCESS | 进行平仓操作，品种:SHIB-USDT-SWAP，方向：long
2023-12-20 17:13:22 | SUCCESS | 进行平仓操作，品种:DYDX-USDT-SWAP，方向：long
2023-12-20 17:13:38 | SUCCESS | 进行平仓操作，品种:IOST-USDT-SWAP，方向：long
2023-12-20 17:13:52 | SUCCESS | 进行平仓操作，品种:LTC-USDT-SWAP，方向：long
2023-12-20 17:14:06 | SUCCESS | 进行平仓操作，品种:MKR-USDT-SWAP，方向：long
2023-12-20 17:15:39 | SUCCESS | 进行开仓操作，品种：ARB-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-20 17:15:43 | WARNING | 模拟盘土狗币交易失败，品种：ALPHA-USDT-SWAP不在交易所模拟盘中！
2023-12-20 17:16:13 | SUCCESS | 进行开仓操作，品种：SHIB-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-20 17:16:19 | WARNING | 模拟盘土狗币交易失败，品种：DYDX-USDT-SWAP不在交易所模拟盘中！
2023-12-20 17:16:45 | SUCCESS | 进行开仓操作，品种：IOST-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-20 17:17:12 | SUCCESS | 进行开仓操作，品种：LTC-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-20 17:17:50 | SUCCESS | 进行开仓操作，品种：MKR-USDT-SWAP，金额：100.0USDT，方向：long
