2023-12-03 18:16:40 | INFO | 跟单猿交易系统启动，跟随交易员：EEA569A04A98D4E9
2023-12-03 18:17:08 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:37:36 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:40:21 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:49:00 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:51:07 | INFO | 跟单猿交易系统启动，跟随交易员：EEA569A04A98D4E9
2023-12-03 18:51:37 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:52:01 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:52:43 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:55:37 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 18:57:10 | INFO | 跟单猿交易系统启动，跟随交易员：EEA569A04A98D4E9
2023-12-03 18:57:46 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-03 19:02:46 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
