2023-12-27 18:39:53 | INFO | 跟单猿交易系统启动，跟随交易员：BE9D269AE6D59DCF
2023-12-27 18:40:04 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，暂时没有仓位，继续跟单中...
2023-12-27 18:46:36 | SUCCESS | 进行平仓操作，品种:ETH-USDT-SWAP，方向：long
2023-12-27 19:19:39 | SUCCESS | 进行平仓操作，品种:MKR-USDT-SWAP，方向：long
2023-12-27 19:20:00 | SUCCESS | 进行平仓操作，品种:LTC-USDT-SWAP，方向：long
2023-12-27 19:20:34 | SUCCESS | 进行平仓操作，品种:BTC-USDT-SWAP，方向：long
2023-12-27 19:20:58 | WARNING | 模拟盘土狗币交易失败，品种：LUNC-USDT-SWAP不在交易所模拟盘中！
2023-12-27 20:54:29 | WARNING | 模拟盘土狗币交易失败，品种：MEME-USDT-SWAP不在交易所模拟盘中！
2023-12-27 21:46:04 | WARNING | 模拟盘土狗币交易失败，品种：MEME-USDT-SWAP不在交易所模拟盘中！
2023-12-27 23:09:44 | WARNING | 模拟盘土狗币交易失败，品种：STORJ-USDT-SWAP不在交易所模拟盘中！
2023-12-27 23:10:04 | WARNING | 模拟盘土狗币交易失败，品种：STORJ-USDT-SWAP不在交易所模拟盘中！
2023-12-27 23:11:12 | WARNING | 模拟盘土狗币交易失败，品种：STORJ-USDT-SWAP不在交易所模拟盘中！
2023-12-28 12:52:35 | WARNING | 模拟盘土狗币交易失败，品种：STORJ-USDT-SWAP不在交易所模拟盘中！
2023-12-28 12:52:45 | WARNING | 模拟盘土狗币交易失败，品种：STORJ-USDT-SWAP不在交易所模拟盘中！
2023-12-28 14:55:50 | WARNING | 模拟盘土狗币交易失败，品种：SSV-USDT-SWAP不在交易所模拟盘中！
2023-12-28 17:02:16 | SUCCESS | 进行加仓操作，品种：IOST-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-28 18:22:43 | WARNING | 模拟盘土狗币交易失败，品种：SSV-USDT-SWAP不在交易所模拟盘中！
2023-12-28 18:36:27 | WARNING | 模拟盘土狗币交易失败，品种：SSV-USDT-SWAP不在交易所模拟盘中！
2023-12-28 18:50:10 | WARNING | 模拟盘土狗币交易失败，品种：MEME-USDT-SWAP不在交易所模拟盘中！
2023-12-28 18:57:04 | WARNING | 模拟盘土狗币交易失败，品种：SSV-USDT-SWAP不在交易所模拟盘中！
2023-12-28 21:03:35 | WARNING | 模拟盘土狗币交易失败，品种：MEME-USDT-SWAP不在交易所模拟盘中！
2023-12-28 21:35:28 | SUCCESS | 进行平仓操作，品种:SSV-USDT-SWAP，方向：long
2023-12-28 21:57:12 | WARNING | 模拟盘土狗币交易失败，品种：GAS-USDT-SWAP不在交易所模拟盘中！
2023-12-28 21:57:27 | WARNING | 模拟盘土狗币交易失败，品种：GAS-USDT-SWAP不在交易所模拟盘中！
2023-12-28 23:20:26 | SUCCESS | 进行开仓操作，品种：BTC-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-28 23:21:04 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-29 09:34:07 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-29 11:36:21 | SUCCESS | 进行平仓操作，品种:BTC-USDT-SWAP，方向：long
2023-12-29 13:21:30 | SUCCESS | 进行开仓操作，品种：MKR-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-29 13:21:52 | SUCCESS | 进行加仓操作，品种：MKR-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-29 13:23:01 | SUCCESS | 进行加仓操作，品种：MKR-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-29 13:23:22 | SUCCESS | 进行加仓操作，品种：MKR-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-29 13:29:43 | SUCCESS | 进行加仓操作，品种：MKR-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-29 14:33:06 | WARNING | 手动结束跟单，MKR-USDT-SWAP已经按市价进行平仓。
2023-12-29 14:33:19 | WARNING | 手动结束跟单，IOST-USDT-SWAP已经按市价进行平仓。
2023-12-29 14:33:23 | WARNING | 手动结束跟单，任务：272
