2023-12-16 01:40:33 | INFO | 跟单猿交易系统启动，跟随交易员：31F08109D363843E
2023-12-16 01:40:56 | SUCCESS | 进行开仓操作，品种：ETH-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-16 01:47:12 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-16 07:38:19 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-16 09:22:30 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，减仓占比：40.00%
2023-12-16 09:24:44 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，减仓占比：66.67%
2023-12-16 09:25:27 | SUCCESS | 进行平仓操作，品种:ETH-USDT-SWAP，方向：long
2023-12-17 08:57:33 | SUCCESS | 进行开仓操作，品种：ETH-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-17 09:00:55 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-17 09:44:14 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-17 09:50:35 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-17 13:51:11 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-17 13:52:36 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
