2023-12-23 00:21:26 | INFO | 跟单猿交易系统启动，跟随交易员：BE9D269AE6D59DCF
2023-12-23 00:21:37 | SUCCESS | 进行平仓操作，品种:LUNC-USDT-SWAP，方向：long
2023-12-23 00:23:04 | SUCCESS | 进行开仓操作，品种：SHIB-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-23 00:23:43 | SUCCESS | 进行加仓操作，品种：SHIB-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-23 00:31:17 | WARNING | 模拟盘土狗币交易失败，品种：LUNC-USDT-SWAP不在交易所模拟盘中！
2023-12-23 00:48:52 | SUCCESS | 进行平仓操作，品种:LUNC-USDT-SWAP，方向：long
2023-12-23 00:49:47 | SUCCESS | 进行加仓操作，品种：LTC-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-23 01:06:20 | WARNING | 模拟盘土狗币交易失败，品种：LUNC-USDT-SWAP不在交易所模拟盘中！
2023-12-23 01:12:33 | WARNING | 模拟盘土狗币交易失败，品种：LUNC-USDT-SWAP不在交易所模拟盘中！
2023-12-23 01:44:37 | WARNING | 模拟盘土狗币交易失败，品种：LUNC-USDT-SWAP不在交易所模拟盘中！
2023-12-23 06:11:31 | WARNING | 模拟盘土狗币交易失败，品种：LUNC-USDT-SWAP不在交易所模拟盘中！
2023-12-23 06:11:34 | WARNING | 模拟盘土狗币交易失败，品种：LUNC-USDT-SWAP不在交易所模拟盘中！
2023-12-23 06:11:38 | SUCCESS | 进行平仓操作，品种:LUNC-USDT-SWAP，方向：long
2023-12-23 10:56:14 | WARNING | 模拟盘土狗币交易失败，品种：MEME-USDT-SWAP不在交易所模拟盘中！
2023-12-23 10:56:38 | WARNING | 模拟盘土狗币交易失败，品种：MEME-USDT-SWAP不在交易所模拟盘中！
2023-12-23 15:53:28 | WARNING | 模拟盘土狗币交易失败，品种：MEME-USDT-SWAP不在交易所模拟盘中！
2023-12-23 18:54:24 | SUCCESS | 进行加仓操作，品种：MKR-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-23 22:54:16 | SUCCESS | 进行开仓操作，品种：OP-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-23 23:15:25 | SUCCESS | 进行平仓操作，品种:SHIB-USDT-SWAP，方向：long
2023-12-23 23:21:24 | WARNING | 模拟盘土狗币交易失败，品种：ZRX-USDT-SWAP不在交易所模拟盘中！
2023-12-24 00:55:24 | SUCCESS | 进行平仓操作，品种:OP-USDT-SWAP，方向：long
2023-12-24 00:58:26 | SUCCESS | 进行加仓操作，品种：IOST-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-24 01:02:19 | SUCCESS | 进行开仓操作，品种：SHIB-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-24 01:54:35 | SUCCESS | 进行减仓操作，品种：MKR-USDT-SWAP，减仓占比：3.15%
2023-12-24 02:31:28 | WARNING | 模拟盘土狗币交易失败，品种：SSV-USDT-SWAP不在交易所模拟盘中！
2023-12-24 03:26:47 | SUCCESS | 进行加仓操作，品种：SHIB-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-24 10:14:52 | WARNING | 模拟盘土狗币交易失败，品种：LUNC-USDT-SWAP不在交易所模拟盘中！
2023-12-24 10:14:57 | SUCCESS | 进行平仓操作，品种:SSV-USDT-SWAP，方向：long
