2023-12-11 02:28:29 | INFO | 跟单猿交易系统启动，跟随交易员：31F08109D363843E
2023-12-11 02:28:37 | SUCCESS | 进行平仓操作，品种:ETH-USDT-SWAP，方向：long
2023-12-11 02:29:23 | SUCCESS | 进行开仓操作，品种：ETH-USDT-SWAP，金额：100.0USDT，方向：short
2023-12-11 02:30:00 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：short
2023-12-11 02:30:30 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：short
2023-12-11 02:30:54 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：short
2023-12-11 02:31:18 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：short
2023-12-11 07:04:39 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：short
2023-12-11 07:18:30 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，减仓量：846.3333333333334USDT，减仓占比：33.33%
2023-12-11 08:56:12 | SUCCESS | 进行平仓操作，品种:ETH-USDT-SWAP，方向：short
2023-12-11 08:57:11 | SUCCESS | 进行开仓操作，品种：ETH-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-11 09:02:14 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-11 09:02:30 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-11 09:02:56 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-11 09:03:20 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-11 09:04:27 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-11 09:09:52 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-11 09:10:24 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-11 09:11:21 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-11 10:16:10 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-11 10:16:21 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-11 10:16:59 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-11 10:17:53 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-11 10:18:16 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-11 10:18:44 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
