2023-12-19 14:25:21 | INFO | 跟单猿交易系统启动，跟随交易员：31F08109D363843E
2023-12-19 14:25:52 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-19 16:41:54 | SUCCESS | 进行平仓操作，品种:ETH-USDT-SWAP，方向：long
2023-12-19 18:10:40 | INFO | 跟单猿交易系统启动，跟随交易员：31F08109D363843E
2023-12-19 18:11:10 | SUCCESS | 进行开仓操作，品种：ETH-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-19 18:12:02 | SUCCESS | 进行平仓操作，品种:ETH-USDT-SWAP，方向：long
2023-12-19 18:12:51 | SUCCESS | 进行开仓操作，品种：ETH-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-19 19:48:01 | INFO | 跟单猿交易系统启动，跟随交易员：31F08109D363843E
2023-12-19 19:48:10 | SUCCESS | 进行平仓操作，品种:ETH-USDT-SWAP，方向：long
