2023-12-11 00:26:31 | INFO | 跟单猿交易系统启动，跟随交易员：EEA569A04A98D4E9
2023-12-11 00:33:11 | INFO | 跟单猿交易系统启动，跟随交易员：EEA569A04A98D4E9
2023-12-11 00:33:40 | WARNING | 停止交易，获取api信息失败，请重新提交api，并确认开启交易权限
2023-12-11 00:35:26 | INFO | 跟单猿交易系统启动，跟随交易员：EEA569A04A98D4E9
2023-12-11 00:37:44 | INFO | 跟单猿交易系统启动，跟随交易员：EEA569A04A98D4E9
2023-12-11 00:38:13 | WARNING | 停止交易，获取api信息失败，请重新提交api，并确认开启交易权限
2023-12-11 00:41:26 | INFO | 跟单猿交易系统启动，跟随交易员：EEA569A04A98D4E9
2023-12-11 00:41:53 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：11.0USDT，方向：short
2023-12-11 00:42:24 | WARNING | 手动结束跟单，结束跟单并不会平仓。如有正在进行中的交易，请及时手动在交易所平仓，避免资金损失！
