2023-12-19 21:46:34 | INFO | 跟单猿交易系统启动，跟随交易员：31F08109D363843E
2023-12-19 21:46:59 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，暂时没有仓位，继续跟单中...
2023-12-19 22:00:15 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，暂时没有仓位，继续跟单中...
2023-12-19 22:08:24 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，暂时没有仓位，继续跟单中...
2023-12-19 22:08:39 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，暂时没有仓位，继续跟单中...
2023-12-19 22:08:50 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，暂时没有仓位，继续跟单中...
2023-12-19 22:09:09 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，暂时没有仓位，继续跟单中...
2023-12-19 22:09:15 | SUCCESS | 进行平仓操作，品种:ETH-USDT-SWAP，方向：long
2023-12-20 01:04:14 | SUCCESS | 进行开仓操作，品种：ETH-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-20 01:15:13 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-20 01:16:36 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-20 01:21:45 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-20 01:34:14 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-20 01:53:12 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-20 01:56:44 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-20 02:39:36 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，减仓占比：16.58%
2023-12-20 02:40:11 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，减仓占比：19.89%
2023-12-20 02:41:38 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，减仓占比：24.90%
2023-12-20 02:42:57 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，减仓占比：33.24%
2023-12-20 02:46:16 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，减仓占比：49.84%
